phylum	bin	dnds
Acidobacteriota	SPAdes-MaxBin2Refined-S15.004_sub	0.292769802365571
Acidobacteriota	SPAdes-MaxBin2Refined-S15.021_sub	0.341272066161598
Acidobacteriota	SPAdes-MaxBin2Refined-S15.026_sub	0.261574875265611
Acidobacteriota	SPAdes-MaxBin2Refined-S15.037_sub	2.22451100483169
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.38	0.449362989876841
Acidobacteriota	SPAdes-MetaBAT2Refined-S15.50_sub	0.339383174024136
Actinobacteriota	SPAdes-MaxBin2Refined-S15.034_sub	0.698792860152831
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.11	0.548601780107335
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.14	0.681180238494877
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.18	0.725077187011281
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.19	0.575408048283489
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.20	0.708937905749209
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.22	0.47624236051262
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.26	0.902902345045102
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.42_sub	0.498216422438843
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.44_sub	1.9912248792023
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.45	0.982235167236556
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.49	1.4834409630987
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.5	0.550082287690716
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.51	0.905689558640199
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.56	0.541702325680702
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.57	0.732226956855993
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.68	0.636777791279983
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.69	0.743603108807711
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.72	1.45778072103225
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.73	0.563974153451053
Actinobacteriota	SPAdes-MetaBAT2Refined-S15.74	0.443143668234681
Dormibacterota	SPAdes-MetaBAT2Refined-S15.67	0.432567206510271
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.13	0.930074689260997
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.46	0.90531391253629
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.61	0.425639248875825
Firmicutes_E	SPAdes-MetaBAT2Refined-S15.62	0.424516043652527
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.001_sub	0.759468410873871
Nitrospirota_A	SPAdes-MaxBin2Refined-S15.043_sub	1.05338784838394
Proteobacteria	SPAdes-MaxBin2Refined-S15.010	0.315851577579256
Proteobacteria	SPAdes-MaxBin2Refined-S15.019_sub	0.365922462903625
Proteobacteria	SPAdes-MaxBin2Refined-S15.033_sub	0.316970645894942
Proteobacteria	SPAdes-MaxBin2Refined-S15.057_sub	0.351798407477322
Proteobacteria	SPAdes-MaxBin2Refined-S15.064_sub	0.523968659345644
Proteobacteria	SPAdes-MaxBin2Refined-S15.065_sub	0.303932056844652
Proteobacteria	SPAdes-MetaBAT2Refined-S15.15_sub	0.689278496265606
Proteobacteria	SPAdes-MetaBAT2Refined-S15.27	0.31533437927046
Proteobacteria	SPAdes-MetaBAT2Refined-S15.6	1.13028500209526
Proteobacteria	SPAdes-MetaBAT2Refined-S15.75	0.701092987994123
